run_id,seed,worker_id,result,reason,timestamp
4070,22889,8,REJECT,connectivity_failed,2026-04-24 23:44:42
5895,21529,12,REJECT,connectivity_failed,2026-04-24 23:44:43
1794,20244,3,REJECT,connectivity_failed,2026-04-24 23:44:44
5437,21990,11,ACCEPT,outputs_ok,2026-04-24 23:44:44
4983,20603,10,ACCEPT,outputs_ok,2026-04-24 23:44:47
5895,21551,12,REJECT,connectivity_failed,2026-04-24 23:44:47
8626,21535,18,ACCEPT,outputs_ok,2026-04-24 23:44:50
5438,22012,11,REJECT,connectivity_failed,2026-04-24 23:44:52
4070,22911,8,REJECT,connectivity_failed,2026-04-24 23:44:53
8167,22084,17,ACCEPT,outputs_ok,2026-04-24 23:44:54
436,21847,0,ACCEPT,outputs_ok,2026-04-24 23:44:55
4070,22933,8,REJECT,connectivity_failed,2026-04-24 23:44:57
4984,20625,10,REJECT,connectivity_failed,2026-04-24 23:44:58
3618,21216,7,ACCEPT,outputs_ok,2026-04-24 23:44:59
8627,21557,18,REJECT,connectivity_failed,2026-04-24 23:44:59
5438,22034,11,REJECT,connectivity_failed,2026-04-24 23:45:00
8168,22106,17,REJECT,connectivity_failed,2026-04-24 23:45:01
437,21869,0,REJECT,connectivity_failed,2026-04-24 23:45:02
6812,21971,14,ACCEPT,outputs_ok,2026-04-24 23:45:03
8627,21579,18,REJECT,connectivity_failed,2026-04-24 23:45:07
5438,22056,11,REJECT,connectivity_failed,2026-04-24 23:45:07
9982,22066,21,ACCEPT,outputs_ok,2026-04-24 23:45:09
6813,21993,14,REJECT,connectivity_failed,2026-04-24 23:45:10
7257,20916,15,ACCEPT,outputs_ok,2026-04-24 23:45:16
6356,21574,13,ACCEPT,outputs_ok,2026-04-24 23:45:17
6813,22015,14,REJECT,connectivity_failed,2026-04-24 23:45:18
2260,21983,4,ACCEPT,outputs_ok,2026-04-24 23:45:24
9528,23033,20,ACCEPT,outputs_ok,2026-04-24 23:45:26
6813,22037,14,REJECT,connectivity_failed,2026-04-24 23:45:27
4527,20646,9,ACCEPT,outputs_ok,2026-04-24 23:45:32
9529,23055,20,REJECT,connectivity_failed,2026-04-24 23:45:33
