seed,run_id,mobility,avg_neighbor_count,std_neighbor_count,min_neighbor_count,max_neighbor_count,avg_two_hop_count,std_two_hop_count,avg_routing_table_size,std_routing_table_size,fully_converged_nodes,node1_is_neighbor_of_node0,avg_min_euclidean_dist
6018,10006018,0,7.000000,2.898275,0.000000,14.000000,50.400000,29.564844,47.040000,6.720000,0,0,68.029389
6022,10006022,0,6.120000,2.223870,1.000000,11.000000,36.280000,18.623684,49.000000,0.000000,50,1,64.487981
6021,10006021,0,7.080000,3.309622,0.000000,13.000000,54.000000,34.820109,47.040000,6.720000,0,0,65.973887
6023,10006023,0,6.040000,2.029384,2.000000,10.000000,34.560000,14.611174,49.000000,0.000000,50,1,60.788202
6024,10006024,0,6.240000,2.494474,1.000000,11.000000,38.920000,20.907262,38.440000,12.348538,0,0,72.492017
6025,10006025,0,6.240000,2.249978,1.000000,10.000000,37.760000,19.550509,49.000000,0.000000,50,0,59.196788
6026,10006026,0,6.400000,3.033150,0.000000,12.000000,43.760000,30.369432,47.040000,6.720000,0,0,72.375454
6028,10006028,0,5.520000,2.247132,0.000000,10.000000,30.000000,16.502121,47.040000,6.720000,0,0,69.841903
6027,10006027,0,5.920000,2.207623,1.000000,10.000000,34.000000,16.931627,49.000000,0.000000,50,0,71.493177
6029,10006029,0,6.200000,2.778489,0.000000,12.000000,39.960000,23.784836,47.040000,6.720000,0,0,72.078558
6032,10006032,0,5.640000,3.057842,0.000000,12.000000,35.520000,31.723959,36.720000,13.102733,0,0,74.539794
6033,10006033,0,6.640000,3.468487,1.000000,13.000000,49.480000,38.539455,33.680000,13.518047,0,0,63.061269
6031,10006031,0,6.360000,3.011710,2.000000,12.000000,43.160000,32.755067,49.000000,0.000000,50,0,59.040226
6030,10006030,0,6.600000,3.072458,1.000000,13.000000,46.400000,33.786388,49.000000,0.000000,50,0,63.337499
6034,10006034,0,6.480000,2.555308,0.000000,12.000000,42.040000,25.087017,35.280000,13.130179,0,0,55.375395
6035,10006035,0,6.520000,3.119231,0.000000,12.000000,45.720000,28.342223,41.440000,12.073376,0,1,64.772456
6037,10006037,0,6.240000,2.963511,0.000000,12.000000,41.480000,30.675228,38.240000,12.900481,0,0,58.357002
6036,10006036,0,5.480000,2.202181,2.000000,10.000000,29.400000,20.527055,49.000000,0.000000,50,0,68.336443
6038,10006038,0,6.040000,3.026285,2.000000,12.000000,39.600000,28.440113,43.360000,10.449421,0,0,74.808149
6039,10006039,0,5.400000,2.009975,0.000000,9.000000,27.800000,12.204917,45.120000,9.210081,0,0,57.000119
6040,10006040,0,6.960000,3.475399,0.000000,16.000000,53.560000,41.284457,41.520000,11.803796,0,0,61.737711
6041,10006041,0,6.560000,2.699333,1.000000,12.000000,43.760000,25.067557,49.000000,0.000000,50,0,66.861528
6043,10006043,0,5.280000,2.107510,1.000000,9.000000,27.040000,15.741614,39.760000,12.720943,0,0,59.874566
6042,10006042,0,6.040000,3.162025,1.000000,13.000000,40.440000,31.991974,45.160000,9.014122,0,0,66.992103
6045,10006045,0,5.720000,2.514279,1.000000,10.000000,33.320000,21.418161,45.160000,9.014122,0,0,59.965672
6044,10006044,0,6.240000,2.818226,1.000000,12.000000,40.640000,25.403748,49.000000,0.000000,50,0,65.926449
6046,10006046,0,5.840000,2.110545,2.000000,10.000000,32.720000,15.753146,49.000000,0.000000,50,0,68.107120
6048,10006048,0,4.920000,1.647301,0.000000,8.000000,22.000000,10.560303,47.040000,6.720000,0,0,67.835080
6047,10006047,0,5.360000,1.936595,2.000000,10.000000,27.120000,16.181026,49.000000,0.000000,50,1,63.242930
6052,10006052,0,5.360000,2.251755,1.000000,11.000000,28.440000,16.878578,31.120000,13.016359,0,0,60.041449
6049,10006049,0,5.040000,1.482700,3.000000,9.000000,22.560000,9.204694,49.000000,0.000000,50,0,66.822460
6051,10006051,0,5.760000,2.140654,1.000000,10.000000,32.000000,15.755634,49.000000,0.000000,50,0,72.450209
6050,10006050,0,5.920000,2.480645,1.000000,11.000000,35.280000,20.450956,49.000000,0.000000,50,0,70.132413
6053,10006053,0,5.440000,1.930389,1.000000,10.000000,27.880000,13.805274,49.000000,0.000000,50,0,61.976898
6054,10006054,0,7.360000,4.325552,0.000000,15.000000,65.520000,51.182903,27.840000,13.852595,0,0,60.558018
6055,10006055,0,6.000000,2.144761,2.000000,10.000000,34.600000,18.380424,49.000000,0.000000,50,0,71.396282
6056,10006056,0,5.520000,2.368459,1.000000,11.000000,30.560000,18.338113,49.000000,0.000000,50,0,67.353911
6058,10006058,0,5.240000,1.643898,2.000000,8.000000,24.920000,12.049631,49.000000,0.000000,50,0,60.067446
6057,10006057,0,6.240000,2.956755,0.000000,12.000000,41.440000,30.266258,47.040000,6.720000,0,0,72.627680
6059,10006059,0,6.560000,3.163289,1.000000,13.000000,46.480000,32.812339,39.760000,12.720943,0,1,62.013883
6062,10006062,0,5.520000,2.174764,0.000000,11.000000,29.680000,19.257663,39.840000,12.485768,0,0,65.406390
6060,10006060,0,7.160000,2.935030,2.000000,14.000000,52.720000,31.649986,49.000000,0.000000,50,1,58.986087
6063,10006063,0,5.880000,2.479032,1.000000,11.000000,34.840000,19.664547,45.160000,9.014122,0,0,67.375307
6064,10006064,0,5.560000,2.699333,1.000000,11.000000,32.640000,23.474889,49.000000,0.000000,50,0,68.807563
6061,10006061,0,6.800000,3.784178,0.000000,16.000000,53.760000,48.682465,47.040000,6.720000,0,0,64.247757
6065,10006065,0,5.760000,2.064558,1.000000,11.000000,31.680000,17.748735,49.000000,0.000000,50,0,64.627656
6066,10006066,0,6.240000,2.258849,0.000000,10.000000,37.800000,18.236228,47.040000,6.720000,0,0,52.246468
6068,10006068,0,5.800000,2.457641,2.000000,12.000000,33.880000,21.880256,49.000000,0.000000,50,0,69.217104
6067,10006067,0,5.800000,2.576820,0.000000,12.000000,34.480000,24.264575,47.040000,6.720000,0,0,63.308461
6071,10006071,0,5.360000,1.717673,2.000000,9.000000,26.320000,10.964379,49.000000,0.000000,50,0,77.092907
6070,10006070,0,5.800000,2.433105,2.000000,11.000000,33.760000,22.587218,49.000000,0.000000,50,0,69.097155
6069,10006069,0,6.960000,2.599692,1.000000,12.000000,48.240000,24.447135,49.000000,0.000000,50,0,64.080650
6072,10006072,0,6.400000,2.828427,1.000000,12.000000,42.560000,28.632960,49.000000,0.000000,50,0,68.314045
6074,10006074,0,6.600000,2.497999,0.000000,11.000000,43.200000,21.017136,47.040000,6.720000,0,1,65.695306
6073,10006073,0,5.360000,2.007586,0.000000,9.000000,27.400000,14.363843,47.040000,6.720000,0,0,60.262559
6075,10006075,0,6.040000,2.244638,0.000000,12.000000,35.480000,20.175470,47.040000,6.720000,0,0,70.940419
6076,10006076,0,6.920000,4.371910,0.000000,18.000000,60.080000,54.205845,47.040000,6.720000,0,0,66.581793
6078,10006078,0,6.440000,3.281219,1.000000,14.000000,45.800000,35.471679,26.960000,10.947073,0,0,66.573137
6077,10006077,0,8.040000,2.877221,0.000000,12.000000,64.880000,26.244725,47.040000,6.720000,0,0,65.626556
6079,10006079,0,6.280000,2.498319,2.000000,12.000000,39.400000,21.737525,49.000000,0.000000,50,0,59.718107
6080,10006080,0,6.360000,2.133167,1.000000,10.000000,38.640000,16.494557,49.000000,0.000000,50,0,59.371759
6082,10006082,0,5.480000,2.662630,0.000000,11.000000,31.640000,21.043536,17.920000,7.583772,0,0,73.281183
6084,10006084,0,5.480000,1.699882,2.000000,10.000000,27.440000,11.602000,31.840000,11.598896,0,0,62.195388
6081,10006081,0,7.800000,3.521363,1.000000,14.000000,65.440000,35.160865,38.120000,13.219138,0,0,64.099576
