seed,run_id,mobility,avg_neighbor_count,std_neighbor_count,min_neighbor_count,max_neighbor_count,avg_two_hop_count,std_two_hop_count,avg_routing_table_size,std_routing_table_size,fully_converged_nodes,node1_is_neighbor_of_node0,avg_min_euclidean_dist
35752,10035752,1,8.220000,4.875613,1.000000,18.000000,75.920000,69.564888,47.880000,6.577659,44,1,72.761361
35753,10035753,1,6.920000,2.931484,2.000000,12.000000,44.620000,29.805966,49.000000,0.000000,50,0,66.992660
35754,10035754,1,6.640000,2.590444,1.000000,12.000000,37.600000,23.236179,36.940000,12.484246,0,0,70.330132
35756,10035756,1,6.240000,2.760869,0.000000,14.000000,34.360000,22.496009,46.020000,6.724552,0,1,61.785422
35757,10035757,1,6.200000,2.778489,0.000000,11.000000,32.100000,19.741580,46.280000,6.624319,0,0,70.291803
35755,10035755,1,7.620000,4.044206,0.000000,15.000000,56.160000,42.848739,41.520000,11.803796,0,0,63.638299
35759,10035759,1,7.080000,3.116665,0.000000,11.000000,48.080000,26.164740,47.040000,6.720000,0,1,69.804454
35758,10035758,1,8.980000,3.489928,1.000000,17.000000,68.080000,33.533768,49.000000,0.000000,50,0,66.308191
35761,10035761,1,6.240000,2.112439,2.000000,11.000000,31.080000,14.844312,49.000000,0.000000,50,0,59.670359
35763,10035763,1,6.740000,2.820000,0.000000,13.000000,41.440000,22.425129,47.020000,6.718601,0,1,66.400300
35760,10035760,1,7.360000,3.751053,0.000000,15.000000,48.180000,32.355952,41.360000,11.782631,0,1,60.969838
35762,10035762,1,6.680000,2.955943,2.000000,14.000000,40.400000,28.294876,49.000000,0.000000,50,0,71.435786
35764,10035764,1,7.660000,3.652999,1.000000,15.000000,55.540000,38.264976,43.500000,10.084146,0,0,67.874944
35765,10035765,1,7.260000,3.309441,1.000000,14.000000,45.500000,30.768978,49.000000,0.000000,50,0,65.201217
35766,10035766,1,6.760000,3.338023,1.000000,15.000000,43.300000,30.861789,49.000000,0.000000,50,0,61.094112
35767,10035767,1,6.720000,3.406112,1.000000,14.000000,39.520000,28.570082,48.960000,0.195959,48,0,68.227994
35768,10035768,1,7.260000,3.161076,1.000000,13.000000,47.040000,30.428907,48.800000,0.800000,46,1,72.228746
35769,10035769,1,6.980000,3.792044,1.000000,14.000000,45.500000,34.517387,40.980000,11.437640,0,1,76.836829
35770,10035770,1,6.760000,2.159259,2.000000,11.000000,34.040000,12.691667,49.000000,0.000000,50,0,64.093481
35771,10035771,1,6.220000,2.202635,1.000000,10.000000,32.720000,16.441460,45.160000,9.014122,0,0,56.876477
35773,10035773,1,6.440000,2.376215,1.000000,11.000000,37.720000,21.267854,47.000000,6.000000,45,1,60.849287
35774,10035774,1,6.180000,1.935872,2.000000,9.000000,28.400000,15.667801,49.000000,0.000000,50,0,54.049365
35775,10035775,1,6.260000,2.086241,2.000000,12.000000,31.480000,15.673213,49.000000,0.000000,50,0,64.513458
35772,10035772,1,8.320000,3.635602,2.000000,16.000000,58.720000,39.179096,49.000000,0.000000,50,0,64.323385
35777,10035777,1,6.560000,2.750709,1.000000,11.000000,36.760000,22.504720,45.160000,9.014122,0,0,56.479598
35778,10035778,1,6.800000,2.986637,1.000000,13.000000,40.920000,25.007071,44.880000,9.061214,0,0,62.646140
35776,10035776,1,8.200000,4.014972,0.000000,19.000000,59.300000,43.078185,47.040000,6.720000,0,0,64.790233
35779,10035779,1,6.760000,2.421239,2.000000,12.000000,37.260000,20.234436,49.000000,0.000000,50,0,64.414114
35781,10035781,1,6.540000,2.609291,2.000000,12.000000,36.720000,21.146196,48.880000,0.324962,44,1,59.021647
35780,10035780,1,8.520000,4.428273,0.000000,17.000000,69.380000,54.767103,47.040000,6.720000,0,0,65.806835
35782,10035782,1,6.860000,2.457723,1.000000,12.000000,39.360000,21.103327,49.000000,0.000000,50,0,59.548820
35783,10035783,1,6.640000,2.242855,0.000000,10.000000,34.660000,16.362897,45.120000,9.210081,0,0,68.527595
35786,10035786,1,6.340000,2.909364,1.000000,11.000000,37.560000,23.299064,43.320000,10.441149,0,0,68.312467
35785,10035785,1,6.580000,2.728296,1.000000,12.000000,39.260000,24.191577,43.360000,10.449421,0,0,67.412236
35787,10035787,1,6.680000,2.641515,2.000000,13.000000,36.360000,22.863735,45.160000,9.014122,0,0,60.713199
35784,10035784,1,8.500000,4.825971,1.000000,16.000000,77.960000,64.417687,47.920000,6.852270,44,0,51.426098
35788,10035788,1,5.880000,1.935355,2.000000,10.000000,29.760000,15.075225,49.000000,0.000000,50,0,64.738023
35789,10035789,1,6.520000,2.282455,3.000000,12.000000,32.580000,21.073291,49.000000,0.000000,50,0,67.336107
35794,10035794,1,7.160000,3.251830,2.000000,14.000000,47.380000,30.899120,17.140000,4.354354,0,0,62.704992
35790,10035790,1,6.840000,2.648471,1.000000,13.000000,41.900000,23.333452,47.060000,6.021329,7,0,63.919929
35792,10035792,1,6.320000,1.737124,3.000000,10.000000,32.400000,14.259032,48.940000,0.237487,47,0,56.570442
35791,10035791,1,6.800000,3.224903,1.000000,14.000000,40.300000,29.139835,49.000000,0.000000,50,0,70.293622
35793,10035793,1,7.280000,3.873190,1.000000,16.000000,48.960000,41.533100,49.000000,0.000000,50,0,64.043212
35795,10035795,1,7.220000,3.093800,0.000000,13.000000,46.960000,30.217187,43.280000,10.766689,0,1,66.326413
35796,10035796,1,6.560000,2.290502,1.000000,11.000000,36.480000,17.558178,49.000000,0.000000,50,0,72.415689
35799,10035799,1,6.540000,2.906613,0.000000,12.000000,34.280000,19.867602,41.520000,11.803796,0,0,64.928529
35797,10035797,1,6.580000,3.000600,0.000000,12.000000,36.860000,25.682687,47.040000,6.720000,0,0,57.692576
35798,10035798,1,6.580000,2.530534,0.000000,12.000000,36.800000,19.891707,47.040000,6.720000,0,0,63.382566
