seed,verdict,reason,seconds
1702,reject,Attacker_not_available
Terminated,7
1715,reject,Assert_connectivity_failed,4
1613,accept,ok,34
1607,accept,ok,38
1592,accept,ok,41
1723,reject,Assert_connectivity_failed,4
1589,accept,ok,43
1734,reject,Assert_connectivity_failed,3
1611,accept,ok,41
1597,accept,ok,46
1649,accept,ok,36
1726,reject,Attacker_not_available
Terminated,9
1645,accept,ok,39
1650,accept,ok,35
1647,accept,ok,39
1704,reject,Attacker_not_available
Terminated,21
1763,reject,Assert_connectivity_failed,4
1658,accept,ok,35
1668,accept,ok,34
1762,reject,Attacker_not_available
Terminated,7
1673,accept,ok,38
1772,reject,Attacker_not_available
Terminated,7
1733,reject,Attacker_not_available
Terminated,25
1671,accept,ok,40
1705,accept,ok,34
1714,accept,ok,35
1709,accept,ok,37
1716,accept,ok,36
1785,reject,Assert_connectivity_failed,4
1795,reject,Assert_connectivity_failed,3
1674,accept,ok,49
1736,accept,ok,36
1717,accept,ok,45
1800,reject,Assert_connectivity_failed,4
1741,accept,ok,40
1761,accept,ok,34
1760,accept,ok,37
1745,accept,ok,39
1743,accept,ok,42
1742,accept,ok,42
1729,accept,ok,49
1775,reject,Attacker_not_available
Terminated,25
1805,reject,Assert_connectivity_failed,5
1817,reject,Assert_connectivity_failed,4
1764,accept,ok,36
1765,accept,ok,36
1819,reject,Assert_connectivity_failed,4
1833,reject,Assert_connectivity_failed,4
1750,accept,ok,45
1835,reject,Assert_connectivity_failed,4
1812,reject,Attacker_not_available
Terminated,7
1820,reject,Attacker_not_available
Terminated,7
1844,reject,Assert_connectivity_failed,5
1846,reject,Assert_connectivity_failed,4
1851,reject,Assert_connectivity_failed,4
1768,accept,ok,41
1852,reject,Assert_connectivity_failed,4
1840,reject,Attacker_not_available
Terminated,8
1859,reject,Assert_connectivity_failed,3
1855,reject,Assert_connectivity_failed,3
1782,accept,ok,35
1860,reject,Assert_connectivity_failed,4
1862,reject,Assert_connectivity_failed,4
1888,reject,Assert_connectivity_failed,4
1890,reject,Assert_connectivity_failed,4
1788,accept,ok,39
1789,accept,ok,39
1776,accept,ok,44
1783,accept,ok,43
1891,reject,Assert_connectivity_failed,4
1793,accept,ok,41
1893,reject,Assert_connectivity_failed,5
1798,accept,ok,41
1924,reject,Assert_connectivity_failed,3
1802,accept,ok,36
1804,accept,ok,40
1801,accept,ok,42
1841,reject,Attacker_not_available
Terminated,28
1811,accept,ok,40
1939,reject,Attacker_not_available
Terminated,7
1947,reject,Assert_connectivity_failed,2
1822,accept,ok,42
1838,accept,ok,39
1839,accept,ok,39
1957,reject,Assert_connectivity_failed,3
1953,reject,Assert_connectivity_failed,3
1880,accept,ok,36
1961,reject,Assert_connectivity_failed,3
1884,accept,ok,38
1869,accept,ok,41
1853,accept,ok,44
1882,accept,ok,40
1904,accept,ok,35
1964,reject,Assert_connectivity_failed,5
1883,accept,ok,42
1971,reject,Assert_connectivity_failed,4
1970,reject,Assert_connectivity_failed,4
1974,reject,Assert_connectivity_failed,3
1979,reject,Assert_connectivity_failed,4
1914,accept,ok,38
1916,accept,ok,38
1985,reject,Assert_connectivity_failed,3
1930,accept,ok,34
1986,reject,Assert_connectivity_failed,4
1987,reject,Assert_connectivity_failed,3
2001,reject,Assert_connectivity_failed,3
1994,reject,Assert_connectivity_failed,4
1918,accept,ok,43
2008,reject,Assert_connectivity_failed,2
1927,accept,ok,42
1932,accept,ok,40
1945,accept,ok,36
2009,reject,Assert_connectivity_failed,6
1931,accept,ok,43
2011,reject,Assert_connectivity_failed,5
2017,reject,Assert_connectivity_failed,4
1906,accept,ok,51
2018,reject,Assert_connectivity_failed,4
2021,reject,Assert_connectivity_failed,4
2023,reject,Assert_connectivity_failed,4
2025,reject,Assert_connectivity_failed,4
1941,accept,ok,42
2020,reject,Attacker_not_available
Terminated,8
2049,reject,Assert_connectivity_failed,4
2047,reject,Attacker_not_available
Terminated,5
2041,reject,Attacker_not_available
Terminated,8
1950,accept,ok,43
1948,accept,ok,45
1956,accept,ok,41
1963,accept,ok,37
2058,reject,Assert_connectivity_failed,4
2064,reject,Assert_connectivity_failed,3
2061,reject,Assert_connectivity_failed,3
1960,accept,ok,43
2065,reject,Assert_connectivity_failed,3
2068,reject,Assert_connectivity_failed,3
2073,reject,Assert_connectivity_failed,4
2069,reject,Assert_connectivity_failed,4
1968,accept,ok,41
2079,reject,Assert_connectivity_failed,3
1972,accept,ok,40
2082,reject,Assert_connectivity_failed,4
1982,accept,ok,38
2089,reject,Assert_connectivity_failed,4
2092,reject,Assert_connectivity_failed,4
1975,accept,ok,43
2097,reject,Assert_connectivity_failed,4
2103,reject,Assert_connectivity_failed,4
2002,accept,ok,38
2015,accept,ok,33
1996,accept,ok,40
2107,reject,Assert_connectivity_failed,4
2133,reject,Assert_connectivity_failed,4
2142,reject,Assert_connectivity_failed,4
2130,reject,Attacker_not_available
Terminated,7
2145,reject,Assert_connectivity_failed,4
2006,accept,ok,45
2148,reject,Assert_connectivity_failed,3
2019,accept,ok,38
2010,accept,ok,45
2151,reject,Assert_connectivity_failed,4
2048,accept,ok,36
2153,reject,Assert_connectivity_failed,4
