K,method,variant,classifier,acc_S_test_mean,acc_S_test_std,auc_S_test_mean,auc_S_test_std,acc_M_test_mean,acc_M_test_std,auc_M_test_mean,auc_M_test_std,acc_SM_mean,acc_SM_std,auc_SM_mean,auc_SM_std,acc_MS_mean,acc_MS_std,auc_MS_mean,auc_MS_std,asymmetry_mean,asymmetry_std,n_features,n_features_passing_threshold
19,rf_native,strict,xgboost,0.8837412587412586,0.003603316203421695,0.9461869736157948,0.0026271923686090005,0.9074987512487512,0.002542084284215301,0.9558966352079489,0.0016877717002269789,0.8117882117882118,0.008504789767014537,0.8763995052774398,0.00430570106464486,0.8453808691308691,0.0010366567304458845,0.8792777716788706,0.0018819222941811014,0.0335926573426573,0.008407622957054184,13.0,13.0
20,rf_native,strict,xgboost,0.8843156843156843,0.00286981231969194,0.9475300907259573,0.0027302104435730566,0.9090222277722277,0.0030083394419553513,0.9585838112936015,0.0019430455780306945,0.8131306193806195,0.008846700457145609,0.8763934183947921,0.004686657863360883,0.8455082417582418,0.0021113523020863767,0.8906949672455416,0.0023437933201514703,0.032377622377622345,0.008384682631965738,16.0,16.0
21,rf_native,strict,xgboost,0.8843156843156843,0.00286981231969194,0.9475300907259573,0.0027302104435730566,0.9090222277722277,0.0030083394419553513,0.9585838112936015,0.0019430455780306945,0.8131306193806195,0.008846700457145609,0.8763934183947921,0.004686657863360883,0.8455082417582418,0.0021113523020863767,0.8906949672455416,0.0023437933201514703,0.032377622377622345,0.008384682631965738,16.0,16.0
22,rf_native,strict,xgboost,0.8843344155844155,0.0029175960011342287,0.9475626303017661,0.0026365139544857158,0.9095779220779221,0.00367233003952617,0.9593455168083664,0.0021750957307058306,0.8086276223776224,0.008958781190361463,0.8788292279648424,0.004686605133112301,0.8464610389610389,0.002430500102235107,0.8908973247656439,0.002160398122035436,0.03783341658341653,0.007938337995344047,18.0,18.0
23,rf_native,strict,xgboost,0.8950861638361639,0.0032857697957363948,0.9539803478240042,0.002711836058556931,0.9100711788211788,0.003602923279315081,0.9601924174726373,0.002001399191849359,0.6830157342657343,0.00994983599912699,0.8233454760773691,0.009446058354766845,0.8488573926073926,0.0015983168741347871,0.8960262513460565,0.0023976793229129154,0.16584165834165832,0.009683128573106187,21.0,21.0
24,rf_native,strict,xgboost,0.9037774725274726,0.003105000648084628,0.9574323466244046,0.002535706748213279,0.9103334165834166,0.0033891033335350135,0.9605268872610905,0.0020346291391353535,0.6807942057942058,0.009467325658424243,0.8324163057222498,0.008047903553192922,0.8492632367632368,0.0017009575673962937,0.8978293535260942,0.0028617702570856076,0.16846903096903093,0.009346107199772956,22.0,22.0
25,rf_native,strict,xgboost,0.9034403096903096,0.003119609828457363,0.9572867738530201,0.00252211423924795,0.9110701798201799,0.0031858359885476354,0.9611947867317499,0.0020738230471966162,0.6904058441558442,0.008762753180585687,0.839408018679622,0.008495626960519904,0.8495979020979021,0.001691811641961969,0.8988948226473825,0.0028383347008102645,0.15919205794205793,0.008575369539263945,25.0,25.0
26,rf_native,strict,xgboost,0.9034403096903096,0.003119609828457363,0.9572867738530201,0.00252211423924795,0.9110701798201799,0.0031858359885476354,0.9611947867317499,0.0020738230471966162,0.6904058441558442,0.008762753180585687,0.839408018679622,0.008495626960519904,0.8495979020979021,0.001691811641961969,0.8988948226473825,0.0028383347008102645,0.15919205794205793,0.008575369539263945,25.0,25.0
27,rf_native,strict,xgboost,0.9034403096903096,0.003119609828457363,0.9572867738530201,0.00252211423924795,0.9110701798201799,0.0031858359885476354,0.9611947867317499,0.0020738230471966162,0.6904058441558442,0.008762753180585687,0.839408018679622,0.008495626960519904,0.8495979020979021,0.001691811641961969,0.8988948226473825,0.0028383347008102645,0.15919205794205793,0.008575369539263945,25.0,25.0
28,rf_native,strict,xgboost,0.9033903596403597,0.0031249721772597457,0.9573459242430896,0.002567016580289822,0.9118881118881118,0.0032458430980312532,0.9623721355442759,0.0019175919188580174,0.6867195304695304,0.01007976620765714,0.8412208385395823,0.009175070999992917,0.8480981518481518,0.0022534305449641114,0.8969524908158775,0.0026615429390712693,0.16137862137862136,0.010099852903506503,27.0,27.0
29,rf_native,strict,xgboost,0.9034527972027971,0.0032232286579066197,0.9573749536552357,0.0026718619330690575,0.9120067432567434,0.0034986799183559366,0.9623844764750734,0.0020413972199860297,0.688459040959041,0.010577337508648423,0.8406816414729127,0.008706357267851152,0.8483304195804197,0.0021150031194086456,0.896983247833585,0.0026532318246910323,0.1598713786213786,0.010223007417732017,28.0,28.0
30,rf_native,strict,xgboost,0.9032280219780221,0.0032677862347033067,0.9573522319339002,0.002565626710481536,0.912169080919081,0.0032130273713910588,0.9625029940089881,0.002073228491431329,0.6863861138861138,0.010301393232416226,0.841222987988535,0.009103493173304401,0.8479258241758242,0.0021465751225875854,0.896370035309346,0.002748168526212361,0.1615397102897103,0.010420292439301763,29.0,29.0
31,rf_native,strict,xgboost,0.9033966033966034,0.0031677838415425917,0.9573335443278002,0.0025470088712757468,0.9125187312687313,0.003494501870115014,0.9624634995998008,0.0020196094000418446,0.6849725274725275,0.00830490232916002,0.8406305969879272,0.009098964467614138,0.8481793206793207,0.0019678521369670327,0.8965623785555105,0.0026561631527321707,0.16320679320679318,0.00803896766768894,31.0,31.0
32,rf_native,strict,xgboost,0.903402847152847,0.003184599185910937,0.9573796068442049,0.002612962969917294,0.9125187312687313,0.003494501870115014,0.9624634995998008,0.0020196094000418446,0.6875462037962038,0.00996352526344139,0.8402372229418933,0.00829775411943812,0.8481793206793207,0.0019678521369670327,0.8965623785555105,0.0026561631527321707,0.16063311688311682,0.009635440597273849,32.0,32.0
33,rf_native,strict,xgboost,0.9031655844155845,0.003202588583572486,0.9574329532231006,0.002586224693700281,0.9125187312687313,0.003494501870115014,0.9624634995998008,0.0020196094000418446,0.6872652347652347,0.010018578361338008,0.8403243141723411,0.009039258126620753,0.8481793206793207,0.0019678521369670327,0.8965623785555105,0.0026561631527321707,0.1609140859140859,0.01017857941524163,33.0,33.0
1,xgb_gain,soft,xgboost,0.7956356143856145,0.004992782216141669,0.8608884980528961,0.0031121702052775957,0.8652285214785215,0.004465991677992503,0.919154651230388,0.003244168153570332,0.8200262237762237,0.008463061513108683,0.9192952843859438,0.00019339771030343547,0.7591108891108891,0.0050471579364544505,0.8472431517034413,0.001522807447036014,0.06091533466533462,0.00796653837531189,1.0,0.0
2,xgb_gain,soft,xgboost,0.8090721778221779,0.003193606551419059,0.892190361461715,0.00290080238393253,0.8649662837162838,0.004118244349511337,0.9210447254418908,0.0030759833884188327,0.780290959040959,0.013751537271425699,0.9132859483174169,0.00023064003681078025,0.756973026973027,0.0043791921108818225,0.8068976032084798,0.003405846940694922,0.023557692307692266,0.014154683610985404,2.0,0.0
3,xgb_gain,soft,xgboost,0.8123314185814186,0.003524389439842552,0.8952288346019615,0.0028872805557866353,0.8693431568431569,0.004131341806201728,0.9225708809796597,0.0034408515314057935,0.8101510989010989,0.01344191916021317,0.9140076856834474,0.0002950820343837387,0.7789248251748252,0.004130457879994072,0.8226092452752043,0.003151507470074035,0.03122627372627368,0.013841399628493985,3.0,0.0
4,xgb_gain,soft,xgboost,0.853508991008991,0.0033115523013766087,0.9244703192661484,0.003036692954007289,0.8746878121878122,0.003797064160960481,0.9325109908198694,0.002615770538994824,0.8321640859140859,0.011477110690734326,0.8767182494079349,0.005586502748553696,0.8192007992007992,0.005018790311827393,0.8509655585423568,0.004675602756948899,0.01331293706293701,0.01018177672456974,4.0,0.0
5,xgb_gain,soft,xgboost,0.8533966033966035,0.00386741687974113,0.9245631101540817,0.002995941520632442,0.874875124875125,0.003345603563908751,0.9327606007254484,0.0024848839167101342,0.8297215284715284,0.008664727263095771,0.8759018636208946,0.005129882095161534,0.82006993006993,0.004819082483240228,0.8523834790958291,0.004579778776254122,0.010787962037961975,0.006863225809658739,5.0,3.0
