method,K,threshold,n_features_passing
perm_catboost,31,0.8,25
perm_catboost,31,0.9,21
perm_catboost,32,0.6,33
perm_catboost,32,0.7,32
perm_catboost,32,0.8,30
perm_catboost,32,0.9,26
perm_catboost,33,0.6,33
perm_catboost,33,0.7,33
perm_catboost,33,0.8,33
perm_catboost,33,0.9,33
