K,method,variant,acc_S_test_mean,auc_S_test_mean,acc_M_test_mean,auc_M_test_mean,acc_SM_mean,auc_SM_mean,acc_MS_mean,auc_MS_mean,asymmetry_mean
32,perm_rf,soft,0.9039772727272727,0.9575856762701168,0.9120546120546121,0.9621868833173153,0.6788698801198801,0.8390345353115083,0.84624333999334,0.8953874027030245,0.16737345987345983
33,perm_rf,soft,0.9039294039294039,0.9576355405541844,0.911865218115218,0.9622231524095285,0.6802281052281053,0.8391533205805183,0.8462204462204461,0.8952290609823077,0.16599234099234098
1,perm_rf,strict,,,,,,,,,
2,perm_rf,strict,,,,,,,,,
3,perm_rf,strict,0.8420350482850484,0.8949067275756212,0.8465846653346653,0.8982414033269427,0.8122756410256411,0.885788479003514,0.802588245088245,0.8954858858881711,0.01174700299700295
4,perm_rf,strict,0.8420350482850484,0.8949067275756212,0.8465846653346653,0.8982414033269427,0.8122756410256411,0.885788479003514,0.802588245088245,0.8954858858881711,0.01174700299700295
5,perm_rf,strict,0.8472132034632035,0.8973986558105564,0.8605498667998668,0.9112778190216376,0.8200670163170164,0.8912041115935346,0.795982350982351,0.8921441377678265,0.024305278055278018
6,perm_rf,strict,0.8578837828837829,0.9162616921248915,0.8717532467532468,0.9233009472004851,0.8061509324009325,0.8625330819072703,0.8141092241092241,0.9029158688256466,0.015676406926406886
7,perm_rf,strict,0.8578837828837829,0.9162616921248915,0.8717532467532468,0.9233009472004851,0.8061509324009325,0.8625330819072703,0.8141092241092241,0.9029158688256466,0.015676406926406886
8,perm_rf,strict,0.8578837828837829,0.9162616921248915,0.8717532467532468,0.9233009472004851,0.8061509324009325,0.8625330819072703,0.8141092241092241,0.9029158688256466,0.015676406926406886
9,perm_rf,strict,0.8578837828837829,0.9162616921248915,0.8717532467532468,0.9233009472004851,0.8061509324009325,0.8625330819072703,0.8141092241092241,0.9029158688256466,0.015676406926406886
