config,classifier,direction,partition,metric,mean,std,ci_lo,ci_hi
Plus_Engineered,LogReg,SM,tgt,acc,0.7602922077922079,0.011641641440118809,0.7339860139860139,0.7733516483516484
Plus_Engineered,LogReg,SM,tgt,auc,0.76690182376315,0.014089753367378064,0.7328499133546275,0.7818802637796769
Plus_Engineered,LogReg,MS,te,acc,0.8972902097902098,0.002681182636561429,0.8918425324675324,0.9017201548451549
Plus_Engineered,LogReg,MS,te,auc,0.9449084475714095,0.002654178738734307,0.940433540922115,0.9494953551069311
Plus_Engineered,LogReg,MS,tgt,acc,0.8321428571428571,0.0021242761911170562,0.8275899100899101,0.8350961538461539
Plus_Engineered,LogReg,MS,tgt,auc,0.8844044316073536,0.001217223428031929,0.8824910263936863,0.8864598072382164
Plus_Log,CatBoost,SM,te,acc,0.9051573426573427,0.00216498661229158,0.9015796703296703,0.9088786213786214
Plus_Log,CatBoost,SM,te,auc,0.958019908413265,0.0016356506996345712,0.9553917080671578,0.9604724805040115
Plus_Log,CatBoost,SM,tgt,acc,0.6666483516483518,0.015515648692382417,0.6496116383616384,0.7018244255744255
Plus_Log,CatBoost,SM,tgt,auc,0.8308889760339561,0.010218771686279476,0.8113764346604944,0.8469066385350413
Plus_Log,CatBoost,MS,te,acc,0.9115197302697302,0.0031825367800759428,0.9067463786213785,0.9180694305694306
Plus_Log,CatBoost,MS,te,auc,0.9616559327286099,0.0022081527221632776,0.9572294572934559,0.9652720281716285
Plus_Log,CatBoost,MS,tgt,acc,0.8425387112887112,0.0035501717004691544,0.8364897602397603,0.847632992007992
Plus_Log,CatBoost,MS,tgt,auc,0.8935671646036282,0.00323111318779455,0.8875507059124691,0.8994650289146416
Plus_Log,LogReg,SM,te,acc,0.8858641358641359,0.0034566069002747346,0.8806162587412587,0.8924856393606394
Plus_Log,LogReg,SM,te,auc,0.9453537830176815,0.0022723973540986152,0.9414332826264644,0.9489244233226813
Plus_Log,LogReg,SM,tgt,acc,0.7446953046953046,0.029205145593868345,0.6873214285714285,0.7782667332667332
Plus_Log,LogReg,SM,tgt,auc,0.7528369682265786,0.03806844603320212,0.6800628205148996,0.7964031055108727
Plus_Log,LogReg,MS,te,acc,0.8986076423576422,0.0025924670470256197,0.8934502997002998,0.9018013236763237
Plus_Log,LogReg,MS,te,auc,0.9507552824298576,0.002219626617286576,0.9468683445675203,0.954776877405811
