delta_mean,delta_std,delta_ci_lo,delta_ci_hi,paired_t,paired_p_twosided,cohens_d_paired,n_seeds,config,classifier,direction,partition,metric
0.00014235764235763227,0.002331038165819109,-0.0035508241758241605,0.005100524475524436,0.2731155328951154,0.7877109344113921,0.061070489726455804,20,Plus_Log,CatBoost,MS,tgt,acc
-7.683961892254731e-05,0.0013028112360125952,-0.0022638673140046974,0.002127391028052963,-0.26376593404561927,0.7947998469060179,-0.05897985586747308,20,Plus_Log,CatBoost,MS,tgt,auc
0.00037462537462538135,0.0013363757323874971,-0.0017482517482517723,0.0025755494505494267,1.2536710798573236,0.22516871334281413,0.2803293755986543,20,Plus_Log,LogReg,SM,te,acc
0.0016276649175000824,0.00020078441150757538,0.0012698792840525775,0.0019490468322885949,36.25350566604573,5.259717221478101e-19,8.106530309195206,20,Plus_Log,LogReg,SM,te,auc
-0.007202797202797201,0.028003139550791242,-0.06294892607392606,0.02367382617382616,-1.1502956048472641,0.2642947280777781,-0.257213916665772,20,Plus_Log,LogReg,SM,tgt,acc
-0.005461054180584635,0.03647069690190301,-0.0795345169628074,0.028781181137793356,-0.6696493028055893,0.5111381080767979,-0.14973813621586382,20,Plus_Log,LogReg,SM,tgt,auc
0.002485014985015005,0.0020418434530504515,-0.0010832917082917338,0.005887862137862201,5.442789870396469,2.9859483398376828e-05,1.2170448137453775,20,Plus_Log,LogReg,MS,te,acc
0.0078046734733797475,0.000763944798772363,0.006693942920216569,0.009212171133062665,45.68859021413854,6.808627084690948e-21,10.216279351494544,20,Plus_Log,LogReg,MS,te,auc
-0.0038686313686313533,0.0032777873077330017,-0.009827672327672283,0.0010221028971029078,-5.278269703308277,4.286412873399379e-05,-1.1802569860174954,20,Plus_Log,LogReg,MS,tgt,acc
0.003527254214317166,0.0006239678377029004,0.0025362927532008943,0.004447757724293744,25.280726731595554,4.3340240075048037e-16,5.652942349244373,20,Plus_Log,LogReg,MS,tgt,auc
0.00032467532467533313,0.0011870225991693027,-0.0016296203796203946,0.0019449300699301087,1.2232220298062115,0.23620100880684203,0.27352076102219625,20,Plus_Poly2,CatBoost,SM,te,acc
-0.00013503916163757346,0.00043035220296412294,-0.0010644466048437356,0.000475141429499734,-1.4033005662172444,0.17665917803968673,-0.3137875458925703,20,Plus_Poly2,CatBoost,SM,te,auc
-0.011041458541458543,0.011961119706617248,-0.03269355644355646,0.009408091908091889,-4.128284387253149,0.0005716154291965379,-0.923112452034911,20,Plus_Poly2,CatBoost,SM,tgt,acc
-0.007906617608166033,0.009856715870312801,-0.02844044944191671,0.006572130635348655,-3.5873478908335383,0.001964173411591499,-0.8021553742844286,20,Plus_Poly2,CatBoost,SM,tgt,auc
6.24375624375617e-05,0.0018444267086512617,-0.0028252997002997495,0.0034278221778221594,0.151390817867595,0.8812632925577132,0.033852015992123216,20,Plus_Poly2,CatBoost,MS,te,acc
0.0005319699032236946,0.0005053814465326938,-0.000446296024155568,0.0012770727025223664,4.707418025545636,0.0001533338684311841,1.0526106703627884,20,Plus_Poly2,CatBoost,MS,te,auc
0.001853146853146853,0.0026757541669072222,-0.001523476523476508,0.007814060939060875,3.0972668469882363,0.005931140335851136,0.6925699214322136,20,Plus_Poly2,CatBoost,MS,tgt,acc
0.0013404135824215512,0.002254865310760238,-0.0026537298241219587,0.004223544749456242,2.6584788669688373,0.015515867286059264,0.5944539463288939,20,Plus_Poly2,CatBoost,MS,tgt,auc
0.012868381618381613,0.0027962505209616568,0.007598651348651381,0.01643044455544449,20.58082839388382,1.8913958879347302e-14,4.602013132198204,20,Plus_Poly2,LogReg,SM,te,acc
