seed,verdict,reason,seconds
1315,accept,ok,31
1314,accept,ok,33
1310,accept,ok,35
1305,accept,ok,36
1312,accept,ok,35
1316,accept,ok,33
1339,reject,Attacker_not_available
Terminated,6
1309,accept,ok,38
1320,accept,ok,32
1321,accept,ok,32
1323,accept,ok,31
1362,reject,Attacker_not_available
Terminated,7
1365,reject,Attacker_not_available
Terminated,7
1325,accept,ok,37
1326,accept,ok,34
1327,accept,ok,33
1374,reject,Assert_connectivity_failed,4
1373,reject,Attacker_not_available
Terminated,5
1340,accept,ok,30
1331,accept,ok,37
1335,accept,ok,34
1337,accept,ok,34
1332,accept,ok,36
1338,accept,ok,33
1345,accept,ok,30
1341,accept,ok,34
1342,accept,ok,33
1336,accept,ok,40
1329,accept,ok,45
1361,accept,ok,34
1343,accept,ok,36
1348,accept,ok,36
1397,reject,Assert_connectivity_failed,4
1403,reject,Assert_connectivity_failed,4
1354,accept,ok,40
1364,accept,ok,37
1369,accept,ok,35
1370,accept,ok,35
1414,reject,Assert_connectivity_failed,4
1371,accept,ok,33
1377,accept,ok,28
1417,reject,Attacker_not_available
Terminated,6
1375,accept,ok,34
1383,accept,ok,29
1378,accept,ok,36
1381,accept,ok,34
1386,accept,ok,34
1393,accept,ok,34
1387,accept,ok,35
1400,accept,ok,30
1395,accept,ok,36
1379,accept,ok,41
1405,accept,ok,32
1399,accept,ok,35
1396,accept,ok,38
1440,reject,Assert_connectivity_failed,3
1389,accept,ok,42
1437,reject,Attacker_not_available
Terminated,7
1402,accept,ok,35
1410,accept,ok,31
1406,accept,ok,34
1459,reject,Assert_connectivity_failed,4
1442,reject,Attacker_not_available
Terminated,6
1418,accept,ok,30
1420,accept,ok,34
1416,accept,ok,38
1422,accept,ok,30
1469,reject,Attacker_not_available
Terminated,7
1425,accept,ok,31
1421,accept,ok,40
1433,accept,ok,29
1428,accept,ok,32
1432,accept,ok,34
1427,accept,ok,40
1441,accept,ok,32
1435,accept,ok,37
1454,accept,ok,30
1471,accept,ok,28
1439,accept,ok,37
1460,accept,ok,32
1444,accept,ok,36
1455,accept,ok,34
1466,accept,ok,31
1450,accept,ok,39
1509,reject,Assert_connectivity_failed,2
1499,reject,Attacker_not_available
Terminated,6
1451,accept,ok,40
1474,accept,ok,30
1508,reject,Attacker_not_available
Terminated,6
1463,accept,ok,37
1476,accept,ok,31
1513,reject,Attacker_not_available
Terminated,6
1472,accept,ok,37
1473,accept,ok,38
1532,reject,Attacker_not_available
Terminated,5
1478,accept,ok,38
1484,accept,ok,32
1485,accept,ok,33
1480,accept,ok,34
1486,accept,ok,32
1492,accept,ok,31
1494,accept,ok,34
1507,accept,ok,29
1501,accept,ok,31
1498,accept,ok,38
1500,accept,ok,37
1510,accept,ok,33
1525,accept,ok,31
1521,accept,ok,32
1515,accept,ok,34
1520,accept,ok,33
1497,accept,ok,43
1517,accept,ok,34
1533,accept,ok,29
1529,accept,ok,32
1562,reject,Attacker_not_available
Terminated,7
1526,accept,ok,39
1539,accept,ok,30
1538,accept,ok,31
1535,accept,ok,33
1537,accept,ok,33
1581,reject,Attacker_not_available
Terminated,7
1542,accept,ok,31
1536,accept,ok,36
1543,accept,ok,35
1545,accept,ok,31
1547,accept,ok,32
1553,accept,ok,29
1601,reject,Attacker_not_available
Terminated,7
1544,accept,ok,37
1566,accept,ok,28
1567,accept,ok,29
1550,accept,ok,35
1612,reject,Attacker_not_available
Terminated,6
1559,accept,ok,34
1560,accept,ok,34
1564,accept,ok,33
1574,accept,ok,35
1576,accept,ok,32
1575,accept,ok,33
1637,reject,Attacker_not_available
Terminated,7
1599,accept,ok,28
1586,accept,ok,34
1588,accept,ok,35
1592,accept,ok,35
1589,accept,ok,36
1597,accept,ok,35
1595,accept,ok,36
1596,accept,ok,37
1667,reject,Assert_connectivity_failed,3
1613,accept,ok,25
1607,accept,ok,32
1610,accept,ok,34
1611,accept,ok,32
1631,accept,ok,28
1632,accept,ok,30
1626,accept,ok,33
1690,reject,Assert_connectivity_failed,4
1686,reject,Attacker_not_available
Terminated,6
1623,accept,ok,36
1629,accept,ok,35
1635,accept,ok,35
1645,accept,ok,32
1641,accept,ok,34
1642,accept,ok,34
1713,reject,Assert_connectivity_failed,3
1649,accept,ok,31
1647,accept,ok,34
1708,reject,Attacker_not_available
Terminated,7
1654,accept,ok,33
1668,accept,ok,29
1721,reject,Assert_connectivity_failed,3
1662,accept,ok,32
1718,reject,Attacker_not_available
Terminated,6
1658,accept,ok,36
1673,accept,ok,33
1726,reject,Attacker_not_available
Terminated,8
1671,accept,ok,37
1675,accept,ok,37
1736,reject,Assert_connectivity_failed,3
1677,accept,ok,34
1696,accept,ok,30
1734,reject,Attacker_not_available
Terminated,7
1697,accept,ok,30
1674,accept,ok,43
1676,accept,ok,40
1704,accept,ok,32
1700,accept,ok,34
1705,accept,ok,33
1742,reject,Attacker_not_available
Terminated,7
1714,accept,ok,31
1706,accept,ok,36
1709,accept,ok,34
1764,reject,Assert_connectivity_failed,3
1762,reject,Attacker_not_available
Terminated,6
1723,accept,ok,34
1719,accept,ok,37
1717,accept,ok,39
1733,accept,ok,29
1731,accept,ok,35
1774,reject,Attacker_not_available
Terminated,6
1729,accept,ok,39
1730,accept,ok,39
1741,accept,ok,33
1739,accept,ok,34
1728,accept,ok,46
1752,accept,ok,31
1747,accept,ok,34
1743,accept,ok,36
1761,accept,ok,30
1760,accept,ok,31
1745,accept,ok,36
1744,accept,ok,37
1750,accept,ok,39
1768,accept,ok,31
1767,accept,ok,36
1769,accept,ok,36
1763,accept,ok,41
1798,reject,Attacker_not_available
Terminated,7
1775,accept,ok,34
1800,reject,Attacker_not_available
Terminated,7
1773,accept,ok,38
1780,accept,ok,33
1772,accept,ok,41
1785,accept,ok,29
1805,reject,Attacker_not_available
Terminated,9
1779,accept,ok,39
1812,reject,Attacker_not_available
Terminated,6
1776,accept,ok,43
1781,accept,ok,41
1783,accept,ok,37
1819,reject,Assert_connectivity_failed,4
1782,accept,ok,39
1784,accept,ok,38
1820,reject,Attacker_not_available
Terminated,7
1788,accept,ok,36
1789,accept,ok,38
1835,reject,Assert_connectivity_failed,4
1787,accept,ok,41
1797,accept,ok,33
1793,accept,ok,41
1795,accept,ok,43
1840,reject,Attacker_not_available
Terminated,7
1790,accept,ok,46
1802,accept,ok,34
1803,accept,ok,35
1806,accept,ok,33
1796,accept,ok,49
1807,accept,ok,35
1862,reject,Assert_connectivity_failed,3
1870,reject,Assert_connectivity_failed,2
1811,accept,ok,36
1823,accept,ok,30
1821,accept,ok,34
1833,accept,ok,32
1817,accept,ok,39
1832,accept,ok,37
1838,accept,ok,35
