k,features,s2m,m2s,cross_mean,in_static,in_mobile,coverage,has_dead,degenerate,is_selected
2,AverageMprCount;AvgTxPacketsPerFlow,0.7289499999999999,0.8176166666666665,0.7732833333333332,0.8537499999999999,0.8670833333333333,exhaustive,False,False,False
2,AverageMprCount;DataPacketRate,0.7264416666666667,0.8150916666666667,0.7707666666666666,0.8540833333333334,0.8643749999999999,exhaustive,False,False,False
2,AverageMprCount;FlowDurationStd,0.6781166666666666,0.8120916666666668,0.7451041666666667,0.8602500000000001,0.8650416666666666,exhaustive,False,False,False
2,AverageMprCount;FlowThroughputStd,0.7417666666666666,0.8221083333333333,0.7819375,0.859375,0.8687083333333332,exhaustive,False,False,False
2,AverageMprCount;NormalizedRoutingLoad,0.7199,0.8131083333333332,0.7665041666666665,0.8619166666666667,0.8654999999999999,exhaustive,False,False,False
2,AverageMprCount;Throughput,0.7330666666666668,0.8139416666666667,0.7735041666666667,0.8550833333333333,0.8694583333333332,exhaustive,False,False,False
2,AvgFlowDuration;AvgTxBytesPerFlow,0.62945,0.6677583333333333,0.6486041666666666,0.6728333333333333,0.7212083333333333,exhaustive,False,False,False
2,AvgFlowDuration;AvgTxPacketsPerFlow,0.54245,0.5822833333333333,0.5623666666666667,0.5896666666666667,0.625625,exhaustive,False,False,False
2,AvgFlowDuration;FlowDurationStd,0.5015166666666667,0.5165833333333333,0.50905,0.5401666666666666,0.5075,exhaustive,False,False,False
2,AvgFlowThroughput;AvgFlowDuration,0.6272,0.66715,0.6471750000000001,0.6706666666666666,0.7210833333333332,exhaustive,False,False,False
2,AvgFlowThroughput;AvgTxBytesPerFlow,0.7156416666666668,0.6683333333333333,0.6919875000000001,0.6779583333333333,0.7176666666666667,exhaustive,False,False,False
2,AvgFlowThroughput;AvgTxPacketsPerFlow,0.6943166666666666,0.7001833333333334,0.6972499999999999,0.733625,0.7535,exhaustive,False,False,False
2,AvgFlowThroughput;FlowDurationStd,0.6401833333333333,0.6735333333333333,0.6568583333333333,0.6821666666666667,0.7225416666666667,exhaustive,False,False,False
2,AvgFlowThroughput;FlowThroughputStd,0.725275,0.7205166666666667,0.7228958333333333,0.7442500000000001,0.7437916666666666,exhaustive,False,False,False
2,AvgTxBytesPerFlow;AvgTxPacketsPerFlow,0.6943166666666666,0.7001833333333334,0.6972499999999999,0.733625,0.7535,exhaustive,False,False,False
2,AvgTxPacketSize;AvgFlowDuration,0.7440583333333333,0.7158000000000001,0.7299291666666667,0.7263333333333333,0.7744166666666666,exhaustive,False,False,False
